Name,Value,Change,Volume,High,Low
4SI-4SIGHT HOLDINGS LTD,30, 11.11%,158.96K,30,20
ABG-ABSA GROUP LIMITED,"15,100", -0.66%,1.82M,15.23K,14.88K
APF-ACCELERATE PROP FUND LTD,118, 10.28%,0.96M,118,107
ACS-ACSION LIMITED,650, 12.26%,2.47K,650,600
ADI-ADAPT IT HOLDINGS LTD,683, 1.19%,85.69K,685,678
AIP-ADCOCK INGRAM HLDGS LTD,"4,530", -0.44%,29.80K,4.59K,4.50K
ADR-ADCORP HOLDINGS LIMITED,605, 4.31%,5.55K,614,580
AVL-ADVANCED HEALTH LTD,41,0%,50.04K,42,37
ADH-ADVTECH LTD,"1,653", -0.66%,94.85K,1.67K,1.64K
AFE-AECI LIMITED,"10,281", 0.64%,155.82K,10.37K,10.22K
AOO-AFRICAN & OVER ENT LTD,"1,696",0%,0,0,0
AON-AFRICAN & OVER ENT LTD -N,900,0%,0,0,0
ADW-AFRICAN DAWN CAPITAL LTD,10,0%,0,0,0
AEE-AFRICAN EQUITY EMP INV LTD,110,0%,0,0,0
AME-AFRICAN MEDIA ENT LTD,"2,700",0%,456,2.70K,2.70K
AIL-AFRICAN RAINBOW CAP INV,370,0%,251.29K,380,366
ARI-AFRICAN RAINBOW MIN LTD,"24,201", 1.67%,1M,24.57K,23.87K
AFT-AFRIMAT LIMITED,"5,510", 1.01%,43.31K,5.54K,5.45K
ATI-AFRISTRAT INV HLDGS LTD,1,0%,344.68K,1,1
ACT-AFROCENTRIC INV CORP LTD,502, -5.28%,58.93K,539,501
AHL-AH-VEST LIMITED,50,0%,1.71K,50,50
ALH-ALARIS HOLDINGS LTD,359, 0.56%,68.87K,359,311
AFH-ALEXANDER FORBES GRP HLDGS,400, -0.5%,243.85K,412,383
APH-ALPHAMIN RESOURCES CORP,920,0%,0,0,0
AEL-ALTRON LIMITED A,"1,041", -1.79%,264.85K,1.05K,1.03K
AVV-ALVIVA HOLDINGS LTD,"1,550", 0.32%,15.35K,1.57K,1.55K
AMS-ANGLO AMERICAN PLAT LTD,"152,600", 1.52%,141.60K,154.40K,149.95K
AGL-ANGLO AMERICAN PLC,"61,367", 1.07%,1M,62.20K,60.64K
ANG-ANGLOGOLD ASHANTI LTD,"23,269", -1.33%,1.06M,23.85K,23.26K
ANH-ANHEUSER-BUSCH INBEV SA NV,"85,511", 0.01%,299.95K,85.83K,84.46K
ARH-ARB HOLDINGS LIMITED,550, -0.9%,64.15K,594,530
ACL-ARCELORMITTAL SA LIMITED,657, 4.29%,1.32M,665,625
ACZ-ARDEN CAPITAL LIMITED,490,0%,0,0,0
ART-ARGENT INDUSTRIAL LTD,"1,141", -2.06%,23.22K,1.16K,1.13K
AHA-ARROWHEAD PROP LTD A,"1,220",0%,357,1.25K,1.22K
AHB-ARROWHEAD PROP LTD B,352, -5.12%,138.02K,366,337
AWA-ARROWHEAD PROPERTIES LTD,321,0%,0,0,0
ASC-ASCENDIS HEALTH LTD,57, 9.62%,862.24K,57,52
APN-ASPEN PHARMACARE HLDGS LTD,"19,801", -1.5%,721.57K,20.08K,19.53K
ARA-ASTORIA INVESTMENTS LTD,490, 20.69%,1,490,490
ARL-ASTRAL FOODS LTD,"14,903", 2.78%,21.53K,15.25K,14.37K
ATT-ATTACQ LIMITED,700, 0.72%,170.28K,711,675
AEG-AVENG GROUP LIMITED,6, 20%,32.82M,6,5
AEGN-AVENG GROUP LIMITED NPL,2,0%,0,0,0
AVI-AVI LTD,"7,504", -0.45%,535.23K,7.55K,7.47K
